age,agedef,unit,sex,geo\time	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
Y73,REACH,NR,M,ES	540 	493 	585 	352 	341 	316 	301 	240 	187 	143 	107 	80 	65 	87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,FI	18 	10 	12 	8 	10 	7 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,HR	48 	58 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,HU	50 	29 	36 	18 	3 	21 b	5 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,IS	1 	0 	1 	1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,IT	212 	182 	230 	173 	147 	124 	112 	113 b	82 	162 	127 	105 	126 	59 	117 	93 	92 	59 	63 	62 	61 	80 	98 	46 	49 	37 
Y73,REACH,NR,M,LI	0 	2 	1 	0 	1 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,LT	8 	2 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,LU	13 	17 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,LV	5 	7 	15 	18 	14 	13 	18 	19 	24 	10 	8 	44 	18 	12 	71 	94 	10 	16 	24 	31 	19 	21 	35 	41 	17 	: 
Y73,REACH,NR,M,MT	9 	7 	3 	6 	5 	3 	0 	3 b	5 	6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,NL	88 	105 	98 	82 	58 	54 	64 b	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,NO	21 	21 	18 	21 	15 	17 	8 	10 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,PL	451 p	248 p	300 	211 	279 	174 	175 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,SE	55 	40 	45 	33 	26 	32 	29 	33 	42 	30 	22 	27 	25 	30 	31 	25 	25 	20 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,M,SK	1 	3 	2 	: 	: 	: 	: 	: 	2 	1 	1 	2 	0 	1 	0 	0 	0 	0 	0 	0 	1 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,BE	163 	143 	187 	128 	120 	127 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,BG	126 p	25 p	57 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,CH	224 	189 	191 	170 	159 b	197 	165 	153 	129 	132 	143 	155 	154 	124 	109 	144 	138 	123 	126 	149 	129 	116 	142 	106 	99 	78 
Y73,REACH,NR,T,CY	11 	21 	0 	23 	5 	5 	8 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,CZ	45 	68 	26 b	16 	24 	19 	18 	22 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,DE	833 	988 	806 	774 	736 	798 	946 b	1382 	1033 	1030 	966 	1129 	950 	900 	845 	896 	913 	1019 	995 	853 	913 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,DK	21 	25 	31 	26 	28 	27 	14 	17 b	18 	30 	19 	18 	32 	32 	39 	19 	11 	14 	20 	12 	13 	17 	7 	10 	9 	7 
Y73,REACH,NR,T,EE	13 b	3 	10 	9 	9 	12 	6 	4 b	8 	9 	14 	8 	16 	6 	11 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,ES	1017 	943 	1366 	793 	769 	782 	707 	573 	458 	295 	200 	147 	137 	156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,FI	31 	20 	20 	17 	21 	13 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,FR	493 p	527 p	453 	405 	571 	471 b	895 	540 	1211 	838 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,HR	86 	98 	97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,HU	92 	57 	56 	28 	3 	39 b	8 	7 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,IS	3 	3 	2 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,IT	415 	383 	440 	352 	278 	226 	217 	223 b	172 	310 	261 	209 	230 	140 	221 	179 	192 	120 	139 	110 	130 	149 	200 	102 	98 	75 
Y73,REACH,NR,T,LI	: 	2 	1 	0 	1 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,LT	20 	11 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,LU	18 	25 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,LV	19 	15 	29 	46 	45 	52 	42 	52 	61 	32 	36 	100 	50 	41 	135 	233 	43 	45 	65 	86 	85 	73 	92 	112 	65 	: 
Y73,REACH,NR,T,MT	12 	10 	3 	6 	6 	7 	2 	4 b	8 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,NL	166 	163 	161 	128 	96 	87 	121 b	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,NO	28 	27 	29 	30 	32 	32 	15 	19 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,PL	791 p	530 p	566 	471 	516 	386 	334 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,PT	21 	77 	89 	4 	51 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,SE	101 	78 	83 	67 	56 	61 	54 	53 	87 	58 	51 	60 	51 	62 	56 	48 	60 	62 	: 	: 	: 	: 	: 	: 	: 	: 
Y73,REACH,NR,T,SK	2 	3 	4 	: 	: 	: 	: 	: 	4 	2 	2 	3 	2 	1 	3 	0 	0 	1 	0 	0 	1 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,AT	80 	70 	67 	51 	58 	49 	64 	69 	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,BE	64 	74 	75 	103 	62 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,BG	59 	12 p	32 p	19 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,CZ	: 	: 	: 	: 	: 	: 	: 	: 	6 	10 	8 	5 	2 	7 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,DE	: 	: 	: 	: 	: 	: 	: 	554 	414 	435 	380 	515 	352 	431 	413 	437 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,EL	90 	72 	84 	92 	50 	38 	25 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,ES	381 	455 	519 	366 	369 	423 	315 	276 b	235 	136 	77 	75 	63 	67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,FI	11 	8 	4 	5 	4 	6 	6 	7 	2 	5 	10 	9 	9 	5 	5 	2 	2 	6 	5 	2 	3 	1 	3 	2 	1 	1 
Y74,COMPLET,NR,F,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,HR	: 	: 	: 	43 	64 	47 	63 	61 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,IE	11 	13 p	34 p	33 	19 	32 	79 	68 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,IS	2 	2 	0 	: 	: 	: 	: b	1 	2 	0 	0 	0 	2 	0 	0 	1 	1 	1 	2 	0 	0 	0 	0 	0 	1 	0 
Y74,COMPLET,NR,F,IT	198 	210 	181 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,LI	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,LT	11 	16 	15 	14 	20 	10 	15 	21 	18 	17 	12 	9 	17 	24 	33 	46 	59 	59 	57 	55 	46 	41 	: 	: 	: 	: 
Y74,COMPLET,NR,F,LU	: 	: 	10 	7 	8 	4 	5 	13 	7 	9 	4 	2 	4 	7 	8 	5 	4 	4 	6 	9 	4 	3 	8 	5 	3 	4 
Y74,COMPLET,NR,F,LV	: 	: 	: 	: 	: 	: 	: 	: 	21 	25 	37 	66 	32 	33 	78 	112 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,NO	12 	10 	10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,PL	335 p	259 p	259 	: 	: 	: 	: 	: b	25 	22 	18 	20 	26 	39 	24 	37 	28 	37 	23 	26 	26 	32 	31 	7 	6 	13 
Y74,COMPLET,NR,F,RO	66 	78 	95 	56 	75 	71 	81 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,SE	34 	27 	25 	33 	24 	26 	18 	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,SI	16 	15 	20 	14 	13 	13 	14 	18 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,SK	: 	: 	: 	0 	2 b	3 	1 	4 b	0 	0 	2 	0 	0 	1 	1 	0 	0 	1 	0 	1 	0 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,F,UK	185 	262 	162 	202 	236 	72 	89 	379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,AT	82 	81 	65 	63 	54 	55 	52 	57 	53 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,BE	55 	90 	73 	68 	64 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,BG	58 	14 p	22 p	8 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,CZ	: 	: 	: 	: 	: 	: 	: 	: 	0 	7 	6 	8 	4 	7 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,DE	: 	: 	: 	: 	: 	: 	: 	678 	449 	435 	402 	454 	349 	328 	310 	312 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,EL	67 	88 	103 	112 	76 	25 	36 	17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,ES	393 	491 	511 	356 	310 	333 	278 	219 b	177 	97 	91 	55 	53 	73 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,FI	7 	11 	10 	6 	4 	4 	4 	9 	3 	3 	9 	3 	2 	8 	2 	1 	6 	1 	5 	4 	1 	3 	2 	1 	0 	0 
Y74,COMPLET,NR,M,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,HR	: 	: 	: 	54 	31 	48 	57 	52 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,IE	14 	22 p	18 p	6 	55 	44 	14 	10 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,IS	0 	2 	1 	: 	: 	1 	: b	3 	0 	1 	1 	2 	0 	0 	0 	2 	0 	1 	0 	0 	0 	1 	0 	0 	0 	0 
Y74,COMPLET,NR,M,IT	173 	185 	182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,LI	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,LT	7 	5 	11 	6 	9 	6 	8 	7 	9 	3 	5 	9 	10 	9 	15 	25 	33 	36 	37 	37 	32 	28 	: 	: 	: 	: 
Y74,COMPLET,NR,M,LU	: 	: 	10 	9 	11 	7 	3 	1 	3 	5 	2 	4 	1 	8 	6 	4 	7 	2 	3 	4 	1 	2 	2 	4 	2 	1 
Y74,COMPLET,NR,M,LV	: 	: 	: 	: 	: 	: 	: 	: 	14 	5 	30 	26 	15 	32 	57 	121 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,NO	4 	11 	14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,PL	450 p	219 p	213 	: 	: 	: 	: 	: b	20 	17 	22 	12 	22 	19 	21 	16 	19 	19 	10 	16 	11 	9 	5 	7 	8 	6 
Y74,COMPLET,NR,M,RO	40 	24 	56 	39 	46 	24 	44 	29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,SE	45 	42 	33 	26 	24 	19 	27 	26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,SI	21 	18 	20 	21 	17 	11 	18 	11 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,SK	: 	: 	: 	3 	1 b	1 	2 	2 b	1 	1 	1 	0 	0 	1 	1 	1 	0 	1 	1 	0 	0 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,M,UK	186 	131 	218 	255 	326 	134 	169 	298 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,AT	162 	151 	132 	114 	112 	104 	116 	126 	119 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,BE	119 	164 	148 	171 	126 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,BG	117 	26 p	54 p	27 bp	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,CZ	: 	: 	: 	: 	: 	: 	: 	: 	6 	17 	14 	13 	6 	14 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,DE	: 	: 	: 	: 	: 	: 	: 	1232 	863 	870 	782 	969 	701 	759 	723 	749 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,EL	157 	160 	187 	204 	126 	63 	61 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,ES	774 	946 	1030 	722 	679 	756 	593 	495 b	412 	233 	168 	130 	116 	140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,FI	18 	19 	14 	11 	8 	10 	10 	16 	5 	8 	19 	12 	11 	13 	7 	3 	8 	7 	10 	6 	4 	4 	5 	3 	1 	1 
Y74,COMPLET,NR,T,FR	: 	: 	: 	: 	: 	: 	: 	: 	1483 	850 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,HR	: 	: 	: 	97 	95 	95 	120 	113 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,IE	25 	35 p	52 p	39 	74 	76 	93 	78 	111 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,IS	2 	4 	1 	: 	: 	1 	: b	4 	2 	1 	1 	2 	2 	0 	0 	3 	1 	2 	2 	0 	0 	1 	0 	0 	1 	0 
Y74,COMPLET,NR,T,IT	371 	395 	363 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,LI	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,LT	18 	21 	26 	20 	29 	16 	23 	28 	27 	20 	17 	18 	27 	33 	48 	71 	92 	95 	94 	92 	78 	69 	: 	: 	: 	: 
Y74,COMPLET,NR,T,LU	: 	: 	20 	16 	19 	11 	8 	14 	10 	14 	6 	6 	5 	15 	14 	9 	11 	6 	9 	13 	5 	5 	10 	9 	5 	5 
Y74,COMPLET,NR,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	35 	30 	67 	92 	47 	65 	135 	233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,NO	16 	21 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,PL	785 p	478 p	472 	: 	: 	: 	: 	: b	45 	39 	40 	32 	48 	58 	45 	53 	47 	56 	33 	42 	37 	41 	36 	14 	14 	19 
Y74,COMPLET,NR,T,RO	106 	102 	151 	95 	121 	95 	125 	102 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,SE	79 	69 	58 	59 	48 	45 	45 	49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,SI	37 	33 	40 	35 	30 	24 	32 	29 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,SK	: 	: 	: 	3 	3 b	4 	3 	6 b	1 	1 	3 	0 	0 	2 	2 	1 	0 	2 	1 	1 	0 	: 	: 	: 	: 	: 
Y74,COMPLET,NR,T,UK	371 	393 	380 	457 	562 	206 	258 	677 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,BE	62 	77 	82 	62 	62 	48 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,BG	60 p	11 p	31 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,CH	85 	82 	72 	65 	52 b	86 	64 	44 	55 	68 	51 	54 	56 	58 	53 	71 	67 	53 	54 	72 	68 	60 	44 	56 	40 	32 
Y74,REACH,NR,F,CY	: 	: 	: 	: 	2 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,CZ	10 	17 	17 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,DE	311 	399 	277 	290 	262 	310 	363 b	585 	427 	450 	364 	506 	391 	436 	456 	465 	447 	525 	545 	486 	530 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,DK	13 	11 	16 	17 	20 	11 	10 	12 b	4 	6 	11 	14 	11 	8 	12 	13 	10 	10 	5 	14 	4 	9 	4 	3 	6 	9 
Y74,REACH,NR,F,EE	10 b	3 	3 	8 	6 	5 	2 	0 b	5 	5 	10 	9 	10 	7 	9 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,ES	426 	482 	575 	397 	375 	419 	314 	294 	246 	156 	87 	94 	54 	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,FI	10 	9 	8 	2 	4 	9 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,FR	: p	: 	: 	: 	: 	: b	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,HR	49 	41 	40 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,HU	24 	29 	17 	13 	2 	10 b	5 	3 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,IS	3 	1 	0 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,IT	194 	206 	188 	171 	120 	91 	99 	111 b	77 	137 	103 	103 	101 	56 	92 	93 	95 	60 	66 	56 	52 	103 	63 	51 	48 	65 
Y74,REACH,NR,F,LI	0 	1 	2 	0 	0 	0 	0 	0 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,LT	6 	14 	20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,LU	15 	10 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,LV	14 	16 	25 	33 	47 	28 	23 	27 	21 	25 	37 	66 	32 	33 	78 	112 	21 	35 	38 	46 	49 	51 	62 	88 	44 	: 
Y74,REACH,NR,F,MT	4 	0 	0 	1 	4 	2 	4 	2 b	5 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,NL	45 	58 	42 	46 	44 	40 	45 b	35 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,NO	9 	7 	12 	7 	11 	19 	6 	4 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,PL	282 p	266 p	256 	238 	291 	212 	208 b	: b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,SE	33 	27 	26 	28 	26 	24 	13 	28 	31 	26 	30 	28 	34 	36 	41 	30 	28 	38 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,F,SK	1 	2 	3 	: 	: 	: 	: 	: 	0 	0 	1 	0 	2 	1 	0 	0 	1 	1 	0 	0 	0 	: 	: 	: 	: 	: 
Y74,REACH,NR,M,BE	67 	78 	77 	65 	46 	50 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,M,BG	58 p	14 p	21 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
Y74,REACH,NR,M,CH	115 	91 	98 	84 	72 b	81 	68 	71 	60 	64 	66 	78 	64 	56 	51 	53 	55 	45 	48 	57 	48 	48 	51 	36 	34 	27 
Y74,REACH,NR,M,CY	: 	: 	: 	: 	2 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
